"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","1,750","1,680","1,750","1,680","333,35K","0,00%"
"05.03.2021","1,750","1,560","1,750","1,560","587,72K","6,06%"
"03.03.2021","1,650","1,690","1,690","1,650","958,86K","-2,37%"
"02.03.2021","1,690","1,690","1,690","1,690","954,87K","-1,17%"
"01.03.2021","1,710","1,720","1,720","1,710","35,06K","1,79%"
"26.02.2021","1,680","1,680","1,680","1,680","450,00K","-2,33%"
"25.02.2021","1,720","1,720","1,720","1,720","411,96K","0,00%"
"24.02.2021","1,720","1,720","1,720","1,720","27,65K","0,00%"
"23.02.2021","1,720","1,720","1,720","1,720","286,70K","0,00%"
"22.02.2021","1,720","1,720","1,730","1,720","230,00K","0,00%"
"19.02.2021","1,720","1,720","1,720","1,720","117,29K","0,00%"
"18.02.2021","1,720","1,720","1,720","1,720","79,58K","0,00%"
"17.02.2021","1,720","1,720","1,720","1,720","120,83K","0,00%"
"16.02.2021","1,720","1,720","1,720","1,720","10,00K","0,00%"
"15.02.2021","1,720","1,720","1,720","1,700","164,35K","-0,58%"
"12.02.2021","1,730","1,750","1,750","1,720","656,20K","0,58%"
"11.02.2021","1,720","1,750","1,790","1,720","115,83K","-3,91%"
"10.02.2021","1,790","1,810","1,810","1,730","664,97K","-1,10%"
"09.02.2021","1,810","1,780","1,810","1,780","177,26K","1,69%"
"08.02.2021","1,780","1,780","1,780","1,780","14,00K","0,56%"
"05.02.2021","1,770","1,770","1,800","1,770","475,04K","0,00%"
"04.02.2021","1,770","1,770","1,770","1,760","58,42K","-1,67%"
"03.02.2021","1,800","1,800","1,800","1,800","79,30K","0,00%"
"02.02.2021","1,800","1,800","1,800","1,800","237,62K","0,00%"
"01.02.2021","1,800","1,800","1,800","1,760","864,57K","0,00%"
"29.01.2021","1,800","1,800","1,800","1,800","204,36K","0,00%"
"28.01.2021","1,800","1,770","1,800","1,750","91,74K","1,69%"
"27.01.2021","1,770","1,750","1,770","1,750","263,78K","-2,21%"
"26.01.2021","1,810","1,780","1,820","1,780","3,03M","1,69%"
"25.01.2021","1,780","1,740","1,780","1,730","1,06M","0,56%"
"22.01.2021","1,770","1,700","1,770","1,700","1,66M","4,12%"
"21.01.2021","1,700","1,700","1,700","1,700","45,55K","-1,16%"
"19.01.2021","1,720","1,720","1,720","1,720","828,00K","0,00%"
"15.01.2021","1,720","1,720","1,720","1,720","211,13K","0,00%"
"14.01.2021","1,720","1,720","1,720","1,720","261,17K","0,00%"
"13.01.2021","1,720","1,700","1,730","1,700","1,94M","4,24%"
"12.01.2021","1,650","1,650","1,650","1,640","351,75K","1,85%"
"11.01.2021","1,620","1,620","1,620","1,620","0,68K","-5,81%"
"08.01.2021","1,720","1,720","1,720","1,720","9,40K","0,00%"
"07.01.2021","1,720","1,720","1,720","1,720","2,84K","0,00%"
"06.01.2021","1,720","1,730","1,730","1,720","53,19K","-1,15%"
"05.01.2021","1,740","1,740","1,750","1,720","129,59K","0,00%"
"04.01.2021","1,740","1,740","1,740","1,740","34,80K","0,00%"
"31.12.2020","1,740","1,740","1,740","1,740","21,12K","1,16%"
"30.12.2020","1,720","1,700","1,720","1,700","42,02K","-1,15%"
"29.12.2020","1,740","1,720","1,740","1,720","92,90K","0,00%"
"28.12.2020","1,740","1,780","1,780","1,720","1,09M","-2,25%"
"24.12.2020","1,780","1,780","1,780","1,780","157,50K","-1,11%"
"23.12.2020","1,800","1,750","1,800","1,750","64,79K","2,86%"
"22.12.2020","1,750","1,710","1,750","1,710","140,91K","4,17%"
"21.12.2020","1,680","1,680","1,680","1,680","36,17K","-1,18%"
"18.12.2020","1,700","1,670","1,710","1,670","212,33K","-2,86%"
"17.12.2020","1,750","1,710","1,750","1,660","204,10K","2,34%"
"16.12.2020","1,710","1,700","1,710","1,660","185,39K","0,59%"
"15.12.2020","1,700","1,700","1,700","1,690","459,98K","0,00%"
"14.12.2020","1,700","1,700","1,700","1,700","93,16K","-2,30%"
"11.12.2020","1,740","1,740","1,740","1,740","1,30M","-2,25%"
"10.12.2020","1,780","1,750","1,780","1,750","118,64K","1,71%"
"09.12.2020","1,750","1,750","1,760","1,750","2,85M","0,00%"
"07.12.2020","1,750","1,750","1,750","1,750","494,82K","0,00%"
"04.12.2020","1,750","1,750","1,750","1,740","994,37K","0,00%"
"03.12.2020","1,750","1,730","1,750","1,730","1,60M","1,16%"
"02.12.2020","1,730","1,720","1,730","1,700","889,09K","0,00%"
"01.12.2020","1,730","1,730","1,730","1,700","489,06K","0,00%"
"30.11.2020","1,730","1,700","1,730","1,700","538,86K","1,76%"
"27.11.2020","1,700","1,650","1,700","1,650","951,86K","0,00%"
"26.11.2020","1,700","1,680","1,710","1,680","1,11M","1,80%"
"25.11.2020","1,670","1,600","1,670","1,600","697,33K","4,37%"
"24.11.2020","1,600","1,580","1,600","1,580","7,57M","1,91%"
"23.11.2020","1,570","1,580","1,580","1,570","3,42M","-0,63%"
"20.11.2020","1,580","1,580","1,580","1,580","20,03K","0,00%"
"19.11.2020","1,580","1,580","1,580","1,580","94,90K","0,00%"
"18.11.2020","1,580","1,580","1,580","1,580","30,00K","0,00%"
"17.11.2020","1,580","1,350","1,580","1,350","637,57K","3,95%"
"16.11.2020","1,520","1,550","1,550","1,520","684,41K","-2,56%"
"13.11.2020","1,560","1,580","1,580","1,560","315,80K","0,00%"
"12.11.2020","1,560","1,530","1,560","1,530","325,70K","2,63%"
"11.11.2020","1,520","1,510","1,520","1,500","528,77K","1,33%"
"10.11.2020","1,500","1,500","1,500","1,500","41,82K","-5,66%"
"09.11.2020","1,590","1,590","1,590","1,590","66,10K","3,25%"
"06.11.2020","1,540","1,430","1,540","1,430","375,05K","7,69%"
"05.11.2020","1,430","1,400","1,430","1,400","286,95K","3,62%"
"04.11.2020","1,380","1,410","1,410","1,380","1,38M","-0,72%"
"03.11.2020","1,390","1,400","1,400","1,390","988,03K","0,00%"
"02.11.2020","1,390","1,390","1,400","1,390","133,92K","6,92%"
"30.10.2020","1,300","1,300","1,300","1,300","4,00K","0,00%"
"29.10.2020","1,300","1,300","1,300","1,290","143,38K","0,00%"
"28.10.2020","1,300","1,350","1,350","1,300","162,25K","-4,41%"
"27.10.2020","1,360","1,400","1,400","1,360","355,42K","-2,86%"
"23.10.2020","1,400","1,400","1,400","1,400","48,00K","0,00%"
"22.10.2020","1,400","1,430","1,430","1,400","215,33K","0,00%"
"20.10.2020","1,400","1,450","1,450","1,400","951,92K","0,00%"
"19.10.2020","1,400","1,550","1,550","1,400","158,45K","-6,67%"
"16.10.2020","1,500","1,500","1,500","1,450","111,68K","0,00%"
"15.10.2020","1,500","1,600","1,600","1,500","311,60K","-6,25%"
"14.10.2020","1,600","1,550","1,600","1,550","16,50K","0,00%"
"13.10.2020","1,600","1,600","1,600","1,600","50,00K","0,00%"
"12.10.2020","1,600","1,640","1,640","1,600","55,10K","-4,19%"
"06.10.2020","1,670","1,680","1,680","1,670","100,41K","-1,76%"
"05.10.2020","1,700","1,700","1,700","1,700","56,23K","0,59%"
"02.10.2020","1,690","1,720","1,720","1,690","76,33K","-1,74%"
"30.09.2020","1,720","1,720","1,720","1,720","69,06K","0,00%"
"29.09.2020","1,720","1,720","1,720","1,720","23,55K","0,00%"
"28.09.2020","1,720","1,720","1,720","1,720","8,40K","1,18%"
"25.09.2020","1,700","1,660","1,710","1,660","185,92K","2,41%"
"24.09.2020","1,660","1,610","1,660","1,610","933,30K","-0,60%"
"23.09.2020","1,670","1,680","1,680","1,670","237,49K","-1,18%"
"22.09.2020","1,690","1,680","1,690","1,680","405,90K","0,60%"
"21.09.2020","1,680","1,680","1,680","1,680","49,13K","-1,18%"
"18.09.2020","1,700","1,680","1,700","1,680","74,85K","0,00%"
"17.09.2020","1,700","1,680","1,730","1,680","545,67K","0,00%"
"16.09.2020","1,700","1,690","1,700","1,690","54,23K","0,59%"
"15.09.2020","1,690","1,700","1,700","1,680","318,07K","0,00%"
"14.09.2020","1,690","1,680","1,700","1,660","363,63K","0,60%"
"11.09.2020","1,680","1,700","1,700","1,680","31,00K","-1,18%"
"10.09.2020","1,700","1,740","1,740","1,700","767,09K","6,25%"
"09.09.2020","1,600","1,740","1,740","1,600","2,11K","-8,57%"
"04.09.2020","1,750","1,750","1,750","1,750","342,00K","0,00%"
"03.09.2020","1,750","1,770","1,770","1,700","497,25K","-1,69%"
"02.09.2020","1,780","1,770","1,780","1,770","170,29K","0,00%"
"01.09.2020","1,780","1,770","1,780","1,760","1,20M","0,00%"
"31.08.2020","1,780","1,740","1,780","1,740","2,97M","1,71%"
"28.08.2020","1,750","1,650","1,790","1,650","7,68M","8,02%"
"27.08.2020","1,620","1,620","1,620","1,610","82,06K","0,00%"
"26.08.2020","1,620","1,620","1,620","1,620","6,57K","0,62%"
"25.08.2020","1,610","1,600","1,610","1,600","107,80K","0,62%"
"24.08.2020","1,600","1,600","1,600","1,600","42,60K","-0,62%"
"21.08.2020","1,610","1,630","1,630","1,610","19,27K","0,00%"
"20.08.2020","1,610","1,610","1,610","1,610","20,00K","0,62%"
"19.08.2020","1,600","1,610","1,610","1,600","53,60K","-0,62%"
