"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","25,800","26,150","26,150","25,600","5,87K","-1,26%"
"05.03.2021","26,130","25,900","26,150","25,900","10,49K","2,07%"
"04.03.2021","25,600","26,500","26,500","25,500","9,58K","-4,12%"
"03.03.2021","26,700","27,320","27,320","26,700","4,63K","-2,20%"
"02.03.2021","27,300","27,000","27,500","27,000","5,13K","1,11%"
"01.03.2021","27,000","26,000","27,000","26,000","6,36K","3,85%"
"26.02.2021","26,000","27,300","27,300","26,000","15,61K","-4,76%"
"25.02.2021","27,300","28,000","28,000","27,200","13,07K","-3,19%"
"24.02.2021","28,200","27,750","28,450","27,500","12,31K","2,55%"
"23.02.2021","27,500","26,900","27,500","26,700","15,70K","1,10%"
"22.02.2021","27,200","26,500","27,400","26,500","22,39K","4,41%"
"19.02.2021","26,050","25,500","26,050","25,500","13,07K","3,54%"
"18.02.2021","25,160","25,000","25,700","25,000","20,39K","2,28%"
"17.02.2021","24,600","25,000","25,000","24,500","5,29K","-1,60%"
"16.02.2021","25,000","24,300","25,000","24,300","20,11K","4,17%"
"15.02.2021","24,000","24,000","24,000","24,000","8,15K","0,00%"
"12.02.2021","24,000","24,000","24,100","24,000","19,63K","0,00%"
"11.02.2021","24,000","24,500","24,500","24,000","10,08K","-1,44%"
"10.02.2021","24,350","23,800","24,410","23,800","20,52K","2,31%"
"09.02.2021","23,800","23,000","23,800","23,000","22,77K","4,62%"
"08.02.2021","22,750","22,700","22,750","22,500","9,01K","1,11%"
"05.02.2021","22,500","22,200","22,600","22,200","21,36K","2,27%"
"04.02.2021","22,000","22,300","22,310","22,000","11,35K","-0,68%"
"03.02.2021","22,150","22,000","22,150","22,000","7,23K","0,68%"
"02.02.2021","22,000","21,800","22,000","21,800","4,99K","-1,35%"
"01.02.2021","22,300","21,800","22,300","21,800","0,50K","2,29%"
"29.01.2021","21,800","22,000","22,250","21,200","5,82K","-2,68%"
"28.01.2021","22,400","21,900","22,400","21,900","10,66K","2,28%"
"27.01.2021","21,900","21,900","22,000","21,500","46,31K","-0,45%"
"26.01.2021","22,000","22,000","22,350","21,900","4,12K","0,92%"
"25.01.2021","21,800","21,950","21,950","21,800","10,41K","0,05%"
"22.01.2021","21,790","21,790","21,790","21,790","1,32K","1,02%"
"21.01.2021","21,570","22,000","22,000","21,570","4,63K","-1,95%"
"20.01.2021","22,000","22,000","22,500","22,000","4,46K","0,00%"
"19.01.2021","22,000","21,500","22,000","21,500","10,98K","2,33%"
"18.01.2021","21,500","21,500","21,500","21,000","3,03K","0,00%"
"15.01.2021","21,500","21,900","21,900","21,500","8,28K","0,00%"
"14.01.2021","21,500","21,900","21,900","21,500","6,32K","-2,27%"
"13.01.2021","22,000","21,510","22,000","21,510","1,48K","0,00%"
"12.01.2021","22,000","22,000","22,000","22,000","7,96K","0,00%"
"11.01.2021","22,000","22,100","22,250","22,000","6,59K","-1,79%"
"08.01.2021","22,400","22,500","22,700","22,000","2,81K","-0,44%"
"07.01.2021","22,500","21,750","22,500","21,750","7,46K","4,65%"
"06.01.2021","21,500","21,500","21,510","21,500","9,35K","0,00%"
"05.01.2021","21,500","21,100","21,500","21,000","9,60K","2,38%"
"04.01.2021","21,000","21,260","21,260","21,000","9,15K","0,38%"
"31.12.2020","20,920","20,920","20,920","20,920","0,59K","2,00%"
"29.12.2020","20,510","20,500","20,510","20,500","2,58K","0,05%"
"28.12.2020","20,500","21,000","21,000","20,500","1,30K","-2,38%"
"24.12.2020","21,000","21,000","21,010","21,000","2,04K","-0,47%"
"23.12.2020","21,100","20,900","21,100","20,900","1,07K","2,43%"
"22.12.2020","20,600","20,450","20,600","20,450","0,25K","1,73%"
"21.12.2020","20,250","20,000","20,550","20,000","0,80K","-5,37%"
"18.12.2020","21,400","21,400","21,500","21,400","3,36K","-0,47%"
"17.12.2020","21,500","21,500","21,500","21,500","4,90K","2,38%"
"16.12.2020","21,000","20,510","21,000","20,510","6,36K","2,39%"
"15.12.2020","20,510","20,500","20,510","20,500","4,70K","0,05%"
"14.12.2020","20,500","20,500","20,500","20,500","0,80K","0,00%"
