"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","2,140","2,140","2,140","2,110","1,69M","0,00%"
"05.03.2021","2,140","2,130","2,160","2,110","1,12M","-0,47%"
"04.03.2021","2,150","2,170","2,180","2,140","275,07K","0,00%"
"03.03.2021","2,150","2,120","2,150","2,120","4,08M","0,47%"
"02.03.2021","2,140","2,130","2,150","2,130","249,31K","0,47%"
"01.03.2021","2,130","2,080","2,140","2,080","270,37K","1,43%"
"26.02.2021","2,100","2,140","2,160","2,100","1,35M","-0,94%"
"25.02.2021","2,120","2,100","2,120","2,070","2,35M","0,95%"
"24.02.2021","2,100","2,100","2,100","2,080","1,29M","0,96%"
"23.02.2021","2,080","2,060","2,080","2,050","3,01M","0,48%"
"22.02.2021","2,070","2,070","2,070","2,060","267,09K","0,00%"
"19.02.2021","2,070","2,070","2,080","2,060","1,04M","0,00%"
"18.02.2021","2,070","2,070","2,070","2,050","1,79M","0,00%"
"17.02.2021","2,070","2,060","2,070","2,060","476,84K","0,49%"
"16.02.2021","2,060","2,060","2,100","2,050","609,98K","2,49%"
"15.02.2021","2,010","2,020","2,020","2,010","161,28K","0,00%"
"12.02.2021","2,010","2,020","2,020","2,000","635,71K","-0,50%"
"11.02.2021","2,020","2,040","2,040","2,020","179,58K","-0,98%"
"10.02.2021","2,040","2,050","2,050","2,040","390,50K","0,49%"
"09.02.2021","2,030","2,030","2,040","2,020","998,70K","2,01%"
"08.02.2021","1,990","2,020","2,050","1,990","606,55K","-1,49%"
"05.02.2021","2,020","1,990","2,020","1,980","509,81K","1,00%"
"04.02.2021","2,000","2,050","2,050","1,980","1,42M","-2,44%"
"03.02.2021","2,050","2,050","2,050","2,030","2,78M","0,00%"
"02.02.2021","2,050","2,050","2,050","2,050","530,76K","0,00%"
"01.02.2021","2,050","2,060","2,060","2,050","584,93K","0,00%"
"29.01.2021","2,050","2,040","2,060","2,040","471,86K","0,00%"
"28.01.2021","2,050","2,060","2,070","2,040","460,06K","0,00%"
"27.01.2021","2,050","2,000","2,050","1,990","1,18M","-2,84%"
"26.01.2021","2,110","2,080","2,160","2,080","9,79M","1,44%"
"25.01.2021","2,080","2,010","2,080","2,010","396,08K","3,48%"
"22.01.2021","2,010","1,990","2,010","1,990","468,77K","1,01%"
"21.01.2021","1,990","1,980","1,990","1,980","309,21K","0,51%"
"20.01.2021","1,980","1,960","1,980","1,960","166,79K","0,51%"
"19.01.2021","1,970","1,960","1,980","1,950","1,05M","0,51%"
"18.01.2021","1,960","1,950","1,980","1,920","288,92K","0,51%"
"15.01.2021","1,950","1,950","1,950","1,920","312,53K","0,00%"
"14.01.2021","1,950","1,900","1,950","1,900","419,71K","2,63%"
