"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","31,800","31,500","31,800","31,500","0,34K","1,60%"
"05.03.2021","31,300","32,660","32,660","30,480","26,04K","-6,01%"
"04.03.2021","33,300","33,390","33,390","33,300","0,22K","1,40%"
"03.03.2021","32,840","34,000","34,000","32,840","7,40K","-3,13%"
"02.03.2021","33,900","34,010","34,280","33,900","1,42K","-1,02%"
"01.03.2021","34,250","34,900","34,900","34,190","24,27K","-0,72%"
"26.02.2021","34,500","34,300","34,500","34,300","1,74K","0,44%"
"25.02.2021","34,350","34,000","34,600","34,000","1,36K","0,82%"
"24.02.2021","34,070","34,500","34,550","34,010","5,52K","-2,24%"
"23.02.2021","34,850","35,000","35,000","34,850","0,91K","1,01%"
"22.02.2021","34,500","34,600","34,600","34,000","2,91K","-0,29%"
"19.02.2021","34,600","34,100","34,600","34,100","2,06K","1,76%"
"18.02.2021","34,000","34,400","35,100","34,000","12,69K","-1,45%"
"17.02.2021","34,500","34,490","34,500","33,950","2,83K","0,00%"
"16.02.2021","34,500","34,100","34,500","33,690","36,59K","6,15%"
"15.02.2021","32,500","32,700","32,700","32,500","0,63K","0,31%"
"12.02.2021","32,400","32,450","32,560","32,400","19,83K","-0,31%"
"11.02.2021","32,500","32,630","32,700","32,500","0,73K","-0,61%"
"10.02.2021","32,700","33,500","33,960","32,700","12,90K","-0,91%"
"09.02.2021","33,000","32,500","33,500","32,500","4,42K","1,54%"
"08.02.2021","32,500","32,160","32,500","32,020","5,95K","1,56%"
"05.02.2021","32,000","31,600","32,000","31,580","6,88K","1,33%"
"04.02.2021","31,580","31,520","31,580","31,370","16,80K","0,13%"
"03.02.2021","31,540","31,000","32,000","30,870","6,65K","0,51%"
"02.02.2021","31,380","31,380","31,380","31,380","0,12K","-0,85%"
"01.02.2021","31,650","31,960","32,500","31,650","3,86K","0,16%"
"29.01.2021","31,600","31,200","31,650","31,200","1,83K","0,86%"
"28.01.2021","31,330","31,230","31,330","31,120","37,29K","-2,70%"
"27.01.2021","32,200","31,000","32,350","30,700","9,67K","-1,83%"
"26.01.2021","32,800","33,040","33,040","31,500","8,71K","-0,61%"
"25.01.2021","33,000","32,700","33,000","32,430","2,14K","2,26%"
"22.01.2021","32,270","32,000","32,270","32,000","0,28K","-1,62%"
