"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","45,100","45,000","45,800","45,000","41,04K","0,00%"
"05.03.2021","45,100","44,500","45,100","44,500","72,40K","1,33%"
"04.03.2021","44,510","44,400","44,510","44,400","4,11K","0,47%"
"03.03.2021","44,300","44,300","44,300","44,300","111,11K","0,00%"
"02.03.2021","44,300","44,300","44,300","44,300","7,50K","-1,56%"
"01.03.2021","45,000","44,500","45,000","44,500","3,48K","1,12%"
"26.02.2021","44,500","44,600","44,600","44,500","28,01K","-0,22%"
"25.02.2021","44,600","45,000","45,000","44,600","136,13K","-0,89%"
"24.02.2021","45,000","45,000","45,000","45,000","12,97K","0,00%"
"23.02.2021","45,000","43,000","45,000","43,000","71,70K","4,65%"
"22.02.2021","43,000","43,000","43,000","43,000","0,10K","0,00%"
"19.02.2021","43,000","43,000","43,000","42,990","1,60K","0,00%"
"18.02.2021","43,000","42,500","43,000","42,500","0,91K","0,00%"
"17.02.2021","43,000","43,000","43,000","43,000","0,63K","0,00%"
"16.02.2021","43,000","43,000","43,000","43,000","4,73K","0,00%"
"15.02.2021","43,000","43,000","43,000","43,000","6,57K","0,00%"
"12.02.2021","43,000","43,000","43,000","43,000","13,97K","-0,69%"
"11.02.2021","43,300","43,190","43,300","43,190","31,52K","-2,01%"
"10.02.2021","44,190","44,200","44,200","44,190","5,29K","0,66%"
"09.02.2021","43,900","43,900","43,910","43,900","21,12K","0,92%"
"08.02.2021","43,500","42,800","43,500","42,800","24,13K","1,64%"
"05.02.2021","42,800","42,400","42,800","42,400","26,30K","1,78%"
"04.02.2021","42,050","42,000","42,050","42,000","4,27K","0,12%"
"03.02.2021","42,000","42,200","42,200","42,000","1,70K","0,00%"
"02.02.2021","42,000","42,000","42,000","42,000","1,70K","0,00%"
"01.02.2021","42,000","42,000","42,000","42,000","10,38K","0,00%"
"29.01.2021","42,000","42,200","42,210","42,000","25,96K","-0,47%"
"28.01.2021","42,200","42,200","42,200","42,200","0,24K","0,00%"
"27.01.2021","42,200","42,000","42,200","42,000","52,04K","-2,99%"
"26.01.2021","43,500","43,680","43,680","43,000","7,35K","-0,91%"
"25.01.2021","43,900","43,900","43,900","43,900","18,51K","-0,68%"
