"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","21,500","21,500","21,500","21,500","0,23K","-2,27%"
"04.03.2021","22,000","22,000","22,000","22,000","1,30K","0,00%"
"03.03.2021","22,000","22,000","22,000","22,000","2,67K","0,00%"
"02.03.2021","22,000","22,000","22,000","22,000","0,03K","0,00%"
"01.03.2021","22,000","23,150","23,150","22,000","3,51K","-5,17%"
"26.02.2021","23,200","23,500","23,500","23,200","20,00K","0,00%"
"24.02.2021","23,200","23,200","23,200","23,200","2,21K","0,00%"
"23.02.2021","23,200","23,180","23,200","23,180","25,34K","0,09%"
"22.02.2021","23,180","23,180","23,180","23,180","3,58K","-3,42%"
"19.02.2021","24,000","26,000","26,000","24,000","3,59K","-7,69%"
"18.02.2021","26,000","27,500","27,500","26,000","0,66K","-5,45%"
"17.02.2021","27,500","27,500","27,500","27,500","0,75K","0,00%"
"16.02.2021","27,500","27,500","27,500","27,500","50,27K","-0,36%"
"15.02.2021","27,600","28,000","28,000","27,600","42,83K","-1,43%"
"12.02.2021","28,000","28,000","28,000","28,000","49,55K","0,00%"
"11.02.2021","28,000","28,000","28,000","27,520","17,35K","0,00%"
"10.02.2021","28,000","28,000","28,000","28,000","12,02K","-0,36%"
"09.02.2021","28,100","28,500","29,000","28,100","28,75K","-1,06%"
"08.02.2021","28,400","28,300","28,400","28,300","15,29K","1,43%"
"05.02.2021","28,000","28,000","28,000","28,000","17,21K","0,00%"
"04.02.2021","28,000","28,000","28,000","27,700","28,70K","0,00%"
"03.02.2021","28,000","28,000","28,000","27,990","29,40K","0,00%"
"02.02.2021","28,000","27,700","28,000","27,700","29,50K","0,00%"
"01.02.2021","28,000","28,000","28,000","28,000","4,57K","2,19%"
"29.01.2021","27,400","27,700","27,750","27,400","1,22M","-1,08%"
"28.01.2021","27,700","27,700","27,700","27,700","3,67K","0,00%"
"26.01.2021","27,700","27,990","27,990","27,690","2,85K","-1,07%"
"25.01.2021","28,000","29,000","29,000","28,000","52,81K","-2,44%"
"22.01.2021","28,700","28,630","29,000","28,630","21,35K","0,24%"
"21.01.2021","28,630","28,610","28,630","28,610","18,42K","-2,12%"
"19.01.2021","29,250","29,000","29,250","29,000","48,82K","0,86%"
"18.01.2021","29,000","28,000","29,000","28,000","25,80K","3,57%"
"15.01.2021","28,000","28,000","28,000","28,000","1,76K","8,11%"
"14.01.2021","25,900","26,000","26,000","25,900","101,00K","0,00%"
"13.01.2021","25,900","25,980","25,980","25,900","111,96K","1,17%"
"12.01.2021","25,600","25,550","25,700","25,550","978,15K","0,20%"
"11.01.2021","25,550","25,850","25,900","25,550","1,79K","-1,16%"
"08.01.2021","25,850","25,850","25,850","25,850","51,99K","-0,58%"
"06.01.2021","26,000","25,800","26,000","25,800","1,72M","1,96%"
"05.01.2021","25,500","25,500","25,500","25,500","10,70K","2,00%"
"04.01.2021","25,000","25,010","25,010","25,000","0,75K","-1,96%"
"31.12.2020","25,500","26,000","26,000","25,500","104,60K","-1,92%"
"30.12.2020","26,000","25,000","26,000","25,000","31,76K","4,00%"
"29.12.2020","25,000","25,000","25,000","25,000","1,50K","-3,85%"
"28.12.2020","26,000","26,000","26,000","26,000","100,70K","-1,89%"
"21.12.2020","26,500","26,500","26,500","26,490","458,48K","0,00%"
"18.12.2020","26,500","26,500","26,500","26,500","1,10K","0,00%"
"17.12.2020","26,500","25,840","26,500","25,840","281,93K","2,55%"
"16.12.2020","25,841","25,259","25,841","25,259","245,30K","-1,37%"
"15.12.2020","26,200","24,250","26,200","24,000","87,10K","9,30%"
"14.12.2020","23,970","25,500","25,500","23,500","15,77K","-7,81%"
"11.12.2020","26,000","26,400","26,400","26,000","31,52K","-2,26%"
"10.12.2020","26,600","27,000","27,000","26,600","50,58K","-1,48%"
"09.12.2020","27,000","26,600","27,000","26,600","116,20K","0,00%"
"07.12.2020","27,000","27,000","27,000","27,000","34,60K","0,00%"
"04.12.2020","27,000","26,500","27,000","26,500","832,95K","1,50%"
"03.12.2020","26,600","26,600","26,600","26,600","328,08K","0,00%"
"02.12.2020","26,600","26,810","26,810","26,600","157,08K","0,00%"
"01.12.2020","26,600","26,470","27,000","26,470","37,31K","0,49%"
