"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.03.2021","73,37","73,80","73,80","73,29","0,81K","1,90%"
"05.03.2021","72,00","72,60","73,02","71,40","2,18K","0,14%"
"04.03.2021","71,90","70,55","75,55","70,00","3,01K","-7,35%"
"03.03.2021","77,60","75,90","78,00","75,90","1,44K","1,44%"
"02.03.2021","76,50","76,75","76,75","76,05","1,29K","2,11%"
"01.03.2021","74,92","73,30","74,92","73,30","2,84K","5,03%"
"26.02.2021","71,33","73,94","73,94","71,33","3,16K","-5,06%"
"25.02.2021","75,13","77,00","77,31","75,13","1,10K","-3,80%"
"24.02.2021","78,10","78,62","78,62","77,60","2,21K","-1,14%"
"23.02.2021","79,00","77,81","79,20","77,72","2,00K","-4,13%"
"22.02.2021","82,40","83,00","83,00","82,07","1,10K","4,97%"
"19.02.2021","78,50","76,20","78,74","76,20","1,71K","5,70%"
"18.02.2021","74,27","74,27","74,27","74,27","1,41K","0,36%"
"17.02.2021","74,00","74,35","74,35","73,30","1,03K","1,37%"
"16.02.2021","73,00","74,00","74,00","71,70","1,37K","1,81%"
"12.02.2021","71,70","70,67","71,70","70,67","0,33K","1,56%"
"11.02.2021","70,60","70,65","70,65","70,60","0,37K","-1,13%"
"10.02.2021","71,41","71,47","71,47","71,20","1,50K","0,95%"
"09.02.2021","70,74","70,31","70,74","70,31","0,27K","-1,44%"
"08.02.2021","71,77","72,20","72,20","71,77","1,72K","0,27%"
"05.02.2021","71,58","69,90","72,00","69,80","1,36K","2,98%"
"04.02.2021","69,51","67,84","69,51","67,84","1,29K","1,33%"
"03.02.2021","68,60","68,79","68,79","68,58","0,12K","0,22%"
"02.02.2021","68,45","67,47","68,45","67,47","0,21K","0,66%"
"01.02.2021","68,00","67,00","68,00","67,00","1,86K","2,41%"
"29.01.2021","66,40","67,30","67,30","66,40","2,66K","-5,14%"
"26.01.2021","70,00","69,95","71,00","69,95","3,98K","1,30%"
"25.01.2021","69,10","69,07","69,10","69,07","0,42K","-2,61%"
"22.01.2021","70,95","69,43","71,00","69,43","1,94K","-0,35%"
"20.01.2021","71,20","71,03","71,20","71,03","1,39K","0,28%"
"19.01.2021","71,00","71,01","71,01","70,96","1,38K","-0,06%"
"14.01.2021","71,04","70,01","71,04","70,00","0,34K","1,46%"
"13.01.2021","70,02","71,10","71,10","70,02","0,52K","-2,30%"
"12.01.2021","71,67","70,35","71,67","70,28","1,56K","1,66%"
"11.01.2021","70,50","70,00","70,50","70,00","0,77K","-0,84%"
"08.01.2021","71,10","71,00","71,10","70,80","1,61K","0,42%"
"07.01.2021","70,80","70,00","70,80","70,00","1,80K","2,88%"
"06.01.2021","68,82","69,20","69,40","68,82","5,13K","1,65%"
"05.01.2021","67,70","66,74","67,90","66,74","1,19K","0,70%"
"04.01.2021","67,23","68,18","68,18","67,23","2,33K","2,02%"
"30.12.2020","65,90","65,06","65,90","65,06","2,20K","4,14%"
"29.12.2020","63,28","63,28","63,28","63,28","0,12K","-0,66%"
"28.12.2020","63,70","64,25","64,25","63,70","0,71K","-1,15%"
"24.12.2020","64,44","64,44","64,44","64,44","0,70K","0,37%"
"23.12.2020","64,20","63,60","64,34","63,60","3,09K","2,59%"
"22.12.2020","62,58","63,45","63,45","62,40","0,16K","-1,29%"
"21.12.2020","63,40","61,60","63,40","61,60","0,48K","0,40%"
"18.12.2020","63,15","62,83","63,19","62,81","3,01K","0,32%"
"17.12.2020","62,95","63,00","63,50","62,95","3,11K","0,88%"
"16.12.2020","62,40","60,50","62,50","60,50","4,19K","3,65%"
"15.12.2020","60,20","59,90","60,20","59,90","1,49K","2,03%"
"14.12.2020","59,00","60,00","60,00","59,00","0,95K","-0,84%"
"11.12.2020","59,50","59,60","59,60","59,07","1,08K","0,75%"
"10.12.2020","59,06","59,78","59,78","59,06","0,46K","-0,46%"
"09.12.2020","59,33","60,41","60,41","59,33","1,20K","-2,58%"
"07.12.2020","60,90","60,90","60,90","60,90","0,01K","-0,41%"
"04.12.2020","61,15","60,65","61,15","60,65","1,01K","0,82%"
"03.12.2020","60,65","61,00","61,00","60,50","0,30K","0,48%"
"02.12.2020","60,36","60,79","60,79","60,24","1,69K","-0,05%"
"01.12.2020","60,39","60,05","60,80","60,05","1,29K","-0,89%"
"30.11.2020","60,93","60,93","60,93","60,93","0,15K","0,43%"
"27.11.2020","60,67","60,38","60,82","60,32","2,12K","1,12%"
"25.11.2020","60,00","59,07","60,11","59,00","6,00K","0,50%"
"24.11.2020","59,70","59,22","59,79","59,22","1,66K","2,93%"
"23.11.2020","58,00","57,77","58,21","57,71","5,48K","1,49%"
"20.11.2020","57,15","56,82","57,20","56,80","2,67K","2,79%"
"19.11.2020","55,60","55,56","55,60","55,56","0,51K","-0,80%"
"18.11.2020","56,05","56,05","56,05","56,05","0,02K","-0,02%"
"17.11.2020","56,06","55,32","56,25","55,32","2,56K","1,37%"
"16.11.2020","55,30","55,30","55,82","55,30","2,58K","2,48%"
"13.11.2020","53,96","54,00","54,00","53,96","0,30K","0,24%"
"12.11.2020","53,83","54,00","55,00","53,66","2,68K","0,15%"
"11.11.2020","53,75","54,40","54,40","53,75","5,10K","-0,09%"
"10.11.2020","53,80","54,37","54,37","53,80","0,97K","-1,99%"
"09.11.2020","54,89","55,80","55,80","54,89","0,87K","-0,38%"
"06.11.2020","55,10","55,00","55,19","55,00","4,00K","1,38%"
"05.11.2020","54,35","53,94","54,50","53,94","3,69K","2,74%"
"04.11.2020","52,90","53,39","53,39","52,90","0,86K","-1,93%"
"03.11.2020","53,94","53,94","53,94","53,94","0,50K","0,73%"
"02.11.2020","53,55","53,24","53,55","53,24","1,24K","2,49%"
"29.10.2020","52,25","51,68","52,25","51,68","1,03K","1,46%"
"28.10.2020","51,50","51,00","51,50","50,10","0,67K","-1,55%"
"27.10.2020","52,31","52,00","52,31","51,90","1,13K","2,57%"
"26.10.2020","51,00","51,00","51,00","50,80","1,32K","-0,97%"
"23.10.2020","51,50","51,40","52,00","51,20","4,94K","3,00%"
"22.10.2020","50,00","50,00","50,00","49,80","1,65K","-0,20%"
"21.10.2020","50,10","49,99","50,10","49,70","1,15K","2,24%"
"20.10.2020","49,00","49,00","49,39","49,00","3,92K","1,72%"
"19.10.2020","48,17","48,70","48,70","48,17","0,35K","-0,33%"
"16.10.2020","48,33","48,00","48,33","47,90","0,55K","0,69%"
"15.10.2020","48,00","47,55","48,00","47,55","0,84K","0,95%"
"14.10.2020","47,55","47,30","47,55","47,29","7,77K","0,53%"
"07.10.2020","47,30","47,56","47,75","47,07","3,13K","1,42%"
"05.10.2020","46,64","46,66","46,80","46,64","11,11K","1,72%"
"02.10.2020","45,85","46,00","46,00","45,85","0,90K","3,03%"
"30.09.2020","44,50","44,88","44,88","44,50","0,49K","-0,85%"
"28.09.2020","44,88","45,00","45,00","44,87","1,18K","1,72%"
"25.09.2020","44,12","44,12","44,12","44,12","0,23K","-0,18%"
"24.09.2020","44,20","44,30","44,30","44,17","1,21K","-0,20%"
"23.09.2020","44,29","44,16","44,29","44,16","0,75K","-0,02%"
"22.09.2020","44,30","44,30","44,30","44,30","0,25K","0,00%"
"21.09.2020","44,30","44,30","44,30","44,30","0,28K","-4,53%"
"18.09.2020","46,40","46,85","46,85","46,40","5,26K","-1,49%"
"17.09.2020","47,10","47,10","47,10","47,10","1,20K","-0,55%"
"16.09.2020","47,36","47,36","47,36","47,36","0,97K","0,23%"
"15.09.2020","47,25","47,25","47,25","47,25","0,31K","-0,27%"
"14.09.2020","47,38","47,40","47,40","47,38","1,05K","1,59%"
"11.09.2020","46,64","47,00","47,00","46,61","1,38K","-0,77%"
"09.09.2020","47,00","47,00","47,00","47,00","0,20K","2,73%"
"08.09.2020","45,75","45,00","45,75","45,00","1,83K","0,33%"
"04.09.2020","45,60","45,60","45,60","45,60","0,05K","-1,87%"
"03.09.2020","46,47","46,00","46,47","45,90","0,89K","-2,13%"
"02.09.2020","47,48","47,48","47,48","47,48","1,40K","-1,68%"
"01.09.2020","48,29","48,88","48,88","48,29","2,14K","-0,06%"
"31.08.2020","48,32","48,41","48,41","48,32","2,64K","0,25%"
"28.08.2020","48,20","47,80","48,40","47,80","3,79K","3,88%"
"27.08.2020","46,40","47,50","47,50","46,40","1,03K","-1,28%"
"26.08.2020","47,00","47,00","47,00","47,00","0,15K","2,31%"
"25.08.2020","45,94","45,94","45,94","45,94","0,50K","-1,20%"
"24.08.2020","46,50","46,50","46,50","46,50","0,04K","1,09%"
"21.08.2020","46,00","46,02","46,02","45,65","2,33K","-0,67%"
"20.08.2020","46,31","46,31","46,31","46,31","0,10K","-1,72%"
"19.08.2020","47,12","47,12","47,12","47,12","1,45K","0,04%"
"18.08.2020","47,10","47,10","47,10","47,10","0,10K","2,44%"
"17.08.2020","45,98","46,31","46,36","45,98","6,92K","1,95%"
"14.08.2020","45,10","44,74","45,10","44,08","2,19K","1,23%"
"13.08.2020","44,55","45,10","45,10","44,55","1,76K","-1,00%"
"11.08.2020","45,00","45,00","45,00","45,00","0,09K","-0,33%"
"07.08.2020","45,15","45,15","45,15","45,15","0,09K","-2,90%"
"06.08.2020","46,50","45,74","46,50","45,65","1,93K","2,97%"
"05.08.2020","45,16","45,55","45,55","45,16","12,69K","5,02%"
"04.08.2020","43,00","43,00","43,00","43,00","0,06K","-2,45%"
"03.08.2020","44,08","44,09","44,09","44,08","0,23K","1,73%"
"30.07.2020","43,33","44,00","44,00","43,33","1,15K","-1,86%"
"29.07.2020","44,15","44,15","44,15","44,15","0,07K","-3,71%"
"27.07.2020","45,85","45,03","45,85","45,03","4,50K","7,13%"
"24.07.2020","42,80","42,80","42,80","42,80","2,22K","-0,93%"
"23.07.2020","43,20","43,20","43,20","43,20","0,20K","-0,23%"
